agencyId|agencytitle|agencyAddress|agencyPhone|agencyRentalPhone|agencyWebsite
12647|Barfoot & Thompson Ltd (Licensed: REAA 2008) - Auckland City|34 Shortland Street, AUCKLAND|09 307 6340|09 307 6310|http://www.barfoot.co.nz/city
13081|Barfoot & Thompson Ltd (Licensed: REAA 2008) - Kumeu|130 Main Highway, KUMEU|09 412 5640|None|http://www.barfoot.co.nz/kumeu
11116|Barfoot & Thompson Ltd (Licensed: REAA 2008) - Manurewa|176 Great South Rd, MANUREWA|09 266 7094|09 266 7091|http://www.barfoot.co.nz/manurewa
12513|Barfoot & Thompson Ltd (Licensed: REAA 2008) - Henderson|350 Great North Road, HENDERSON|09 838 6059|09 838 9040|http://www.barfoot.co.nz/henderson
14541|Barfoot & Thompson Ltd (Licensed: REAA 2008) - Greenlane|255A Great South Rd, GREENLANE|09 523 1189|09 523 1185|http://www.barfoot.co.nz/greenlane
21474|Barfoot & Thompson Ltd (Licensed: REAA 2008) - Pt Chevalier|1186 Great North Rd, PT CHEVALIER|09 845 5906|09 845 5902|http://www.barfoot.co.nz/ptchevalier
14291|Barfoot & Thompson Ltd (Licensed: REAA 2008) - Meadowbank|33 St Johns Road, MEADOWBANK|09 528 1105|09 528 3632|http://www.barfoot.co.nz/meadowbank
14785|Barfoot & Thompson Ltd (Licensed: REAA 2008) - Mt Eden|427 Mt Eden Rd, MT EDEN|09 638 9158|09 638 9172|http://www.barfoot.co.nz/mteden
14968|Barfoot & Thompson Ltd (Licensed: REAA 2008) - Royal Oak|Royal Oak Roundabout, ROYAL OAK|09 625 6099|09 625 6079|http://www.barfoot.co.nz/royaloak
12947|Barfoot & Thompson Ltd (Licensed: REAA 2008) - Warkworth|7 Queen Street, WARKWORTH|09 425 8742|09 422 3209|http://www.barfoot.co.nz/warkworth
15004|Barfoot & Thompson Ltd (Licensed: REAA 2008) - West Harbour|Cnr Luckens & Hobsonville Road, WEST HARBOUR|09 416 5599|09 416 3941|http://www.barfoot.co.nz/westharbour
10987|Barfoot & Thompson Ltd (Licensed: REAA 2008) - Mt Roskill|Cnr Dominion Road & Mt Albert Road, MT ROSKILL|09 621 0912|09 621 0917|http://www.barfoot.co.nz/mtroskill
4861|Irelands (Licensed: REAA 2008) - Christchurch|57 Woodham Road , CITY, CHRISTCHURCH|03 377 2090|None|http://www.irelands.co.nz
119844|EV Arthur Ltd (Licensed: REAA 2008) - Property Brokers, Greymouth|33 Tainui Street, GREYMOUTH|03 768 7145|None|None
268735|Click Property Management Ltd|15 Nairn Street, Kaikorai, Dunedin |03 466 77 83|None|http://www.clickpropertymanagement.co.nz
12059|Barfoot & Thompson Ltd (Licensed: REAA 2008) - Milford|180 Kitchener Rd, MILFORD|09 489 5049|09 489 4612|http://www.barfoot.co.nz/milford
13820|Barfoot & Thompson Ltd (Licensed: REAA 2008) - Pukekohe|68 King Street, PUKEKOHE|09 238 7019|09 237 3140|http://www.barfoot.co.nz/pukekohe
23163|Barfoot & Thompson Ltd (Licensed: REAA 2008) - Greenhithe|24 Greenhithe Rd, GREENHITHE|09 413 6528|None|http://www.barfoot.co.nz/greenhithe
13355|Barfoot & Thompson Ltd (Licensed: REAA 2008) - Te Atatu Peninsula|534 Te Atatu Road, TE ATATU PENINSULA|09 834 3570|09 834 3328|http://www.barfoot.co.nz/teatatu
11805|Barfoot & Thompson Ltd (Licensed: REAA 2008) - Remuera|417 Remuera Rd, REMUERA|09 524 0149|None|http://www.barfoot.co.nz/remuera
14719|Barfoot & Thompson Ltd (Licensed: REAA 2008) - Albany|233 Main Road Albany Village, ALBANY|09 415 8460|09 415 4287|http://www.barfoot.co.nz/albany
23162|Barfoot & Thompson Ltd (Licensed: REAA 2008) - Manukau|24 Cavendish Drive, MANUKAU|09 262 1305|None|http://www.barfoot.co.nz/manukau
11924|Barfoot & Thompson Ltd (Licensed: REAA 2008) - Epsom|169 Manukau Road, EPSOM|09 520 6221|09 529 0969|http://www.barfoot.co.nz/epsom
14666|Barfoot & Thompson Ltd (Licensed: REAA 2008) - Whangarei|66 Cameron Street, WHANGAREI|09 438 3079|09 438 3444|http://www.barfoot.co.nz/whangarei
8559|Cooper & Co Real Estate Ltd (Licensed: REAA 2008) - Harcourts, Milford|128 Kitchener Road, MILFORD|09 486 1029|None|http://http://milford.harcourts.co.nz/
13616|Barfoot & Thompson Ltd (Licensed: REAA 2008) - Dannemora|345 Chapel Road, DANNEMORA|09 271 6199|09 271 6219|http://www.barfoot.co.nz/dannemora
14443|Barfoot & Thompson Ltd (Licensed: REAA 2008) - Papakura|36 East Street, PAPAKURA|09 2988029|09 298 7977|http://www.barfoot.co.nz/papakura
14112|Barfoot & Thompson Ltd (Licensed: REAA 2008) - Panmure|28 Queens Rd, PANMURE|09 570 2039|09 527 3190|http://www.barfoot.co.nz/panmure
14843|Barfoot & Thompson Ltd (Licensed: REAA 2008) - Papatoetoe|Cnr Gt South & Kolmar Rds, Hunters Corner, PAPATOETOE|09 278 3024|09 278 2957|http://www.barfoot.co.nz/papatoetoe
5276|Auckland Property Management Ltd (Licensed: REAA 2008)|145 Manukau Road, Epsom, AUCKLAND CITY|09 638 2500|None|http://www.aucklandproperty.net
13438|Barfoot & Thompson Ltd (Licensed: REAA 2008) - Beachlands|42 Wakelin Road, BEACHLANDS|09 536 4990|09 536 4990|http://www.barfoot.co.nz/beachlands
14162|Barfoot & Thompson Ltd (Licensed: REAA 2008) - Howick|50 Picton Street, HOWICK|09 534 5139|09 535 8762|http://www.barfoot.co.nz/howick
12368|Barfoot & Thompson Ltd (Licensed: REAA 2008) - Pakuranga|120 Pakuranga Road, PAKURANGA|09 572 0203|09 576 9007|http://www.barfoot.co.nz/pakuranga
11410|Barfoot & Thompson Ltd (Licensed: REAA 2008) - Glenfield|436 Glenfield Road, GLENFIELD|09 444 6049|09 444 4956|http://www.barfoot.co.nz/glenfield
14222|Barfoot & Thompson Ltd (Licensed: REAA 2008) - Browns Bay|35 Clyde Rd, BROWNS BAY|09 478 5119|09 478 6195|http://www.barfoot.co.nz/brownsbay
10730|Barfoot & Thompson Ltd (Licensed: REAA 2008) - Meadowlands|90J Whitford Road, HOWICK|09 535 3153|09 535 6153|http://www.barfoot.co.nz/meadowlands
259271|IPM Ltd|8 Lakewood Court , Manukau, Auckland|021 061 6476|None|http://www.ipmteam.co.nz
