district,agencyId,suburb,region,title,listingsId,carparksCount,propertyIntroHtml,bathroomCount,address,bedroomCount,agentId,weeklyPrice
Auckland City,217086,Saint Johns,Auckland,Large family home overlooking the golf course,2976242,4,,2,78 Panapa Drive,3,254516,880
Rodney,14882,Stanmore Bay,Auckland,Brand new 2 Bedroom home in Stanmore Bay,2976250,0,,1,67a Brightside Road,2,232218,450
North Shore City,12807,Birkenhead,Auckland,Handy Location,2976255,2,,2,4-100 Birkenhead Avenue,3,26825,550
Manukau City,11116,Manurewa,Auckland,Primrose Prince,2977101,2,,1,16 Primrose Place,5,232210,650
Manukau City,14843,Goodwood Heights,Auckland,Excellent Views,2973618,2,,2,15 Ewhurst Place,4,242073,720
Far North,13516,Kerikeri,Northland,Christmas Holiday Let,2973613,3,,2,Address withheld,3,255383,850
North Shore City,13697,Unsworth Heights,Auckland,"Handy spot, 4 bedrooms",2970873,2,,2,14 Mallard Place,4,168455,600
Rodney,14882,Stanmore Bay,Auckland,Walk to the Beach,2970895,2,,2,3/149 Brightside Road,4,232218,630
Manukau City,12368,Pakuranga,Auckland,Sunny on Latham,2970155,1,,1,9A Latham Avenue,2,356098,430
Manukau City,21474,Mangere East,Auckland,Call now,2969007,1,,1,373 Massey Road,4,277876,580
North Shore City,14926,Torbay,Auckland,A SLICE OF TITIRANGI IN TORBAY,2970900,2,,2,25 Emlyn Place,4,257540,720
Ashburton,313389,Allenton,Canterbury,1 Bedroom plus en-suite,2872478,1,,1,Address withheld,1,354705,200
Manukau City,11116,Manurewa,Auckland,Palmers Palace!,2966892,2,,2,103 Palmers Road,3,232210,555
Palmerston North City,26660,Palmerston North Central,Manawatu / Wanganui,5 George Street Palmerston North Central,2909256,0,,1,5 George Street,1,227157,150
Christchurch City,271708,Waltham,Canterbury,For Rent - 4/18 Goldsmith Place,2927863,1,,1,4/18 Goldsmith Place,2,335976,380
Ashburton,313389,Hampstead,Canterbury,1 bedroom unit with ensuite.,2911691,1,,1,26 Church Street,1,354705,220
Wellington City,280525,Wadestown,Wellington,Brand New 2 bedroom stunner,2890368,1,,2,178a Barnard Street,2,397993,950
