listingsId|title|weeklyPrice|region|district|suburb|address|bedroomCount|carparksCount|bathroomCount|agencyId|agentId|firstImgName
2986544|Loads of Space and Plenty of Style|750|Auckland|Rodney|Warkworth|40 Campbell Drive|5|0|2|12947|316790|2986544/341fd922b60b177d19f6618ac13a71ae.scale.1024x682.jpg
2986549|VIEWS - 5 BDRMS - PETS - WATER INCLUDED|1050|Auckland|Auckland City|Saint Heliers|83 Whytehead Crescent|5|5|3|14541|372839|2986549/0cbd24dc2042759b064d78b908f8978f.scale.1024x682.jpg
2984427|Great for Extended Families or Work from Home!|620|Auckland|North Shore City|Totara Vale|15 Glenvale Place|4|2|2|11410|0|2984427/5160f0c5e41648a620a87e8ffc427d07.scale.1024x682.jpg
2986545|PETS PERMITTED -FREESTANDING HOME|515|Auckland|Waitakere City|Massey|24 Dovey Place|3|3|1|14541|372839|2986545/fe809bd0b6d03d0027dd6d0130ca3724.scale.1024x682.jpg
2987102|Parkhaven Drive - Furnished|620|Auckland|Papakura|Papakura|38 Parkhaven Drive|3|2|2|14443|20329|2987102/0164aec56ae4cf96a36ebd13677447fb.scale.1024x682.jpg
2987093|Railway Street W|495|Auckland|Papakura|Papakura|29 Railway Street West|3|1|1|14443|20329|2987093/67c837641ab33a886c380f0af3bce64a.scale.1024x682.jpg
2982244|Awesome View|480|Auckland|Auckland City|Avondale|2/9 Colorado Place|3|1|1|12223|296808|2982244/8f6cca721e1eae2141dd07eedb9b62d4.scale.1024x682.jpg
2979729|Cozy 2 Bedroom House on Torino|510|Auckland|Auckland City|Point England|11 Torino Street|2|1|1|14112|302807|2979729/3edd49174c27d22932441d3e2ce74323.scale.1024x682.jpg
2984422|Spacious townhouse in double grammar zone.|825|Auckland|Auckland City|Remuera|3/91 Bassett Road|3|2|1|14785|240441|2984422/86b303ced7518b094eeddaea5f66d9c2.scale.1024x682.jpg
2982239|LARGE HOME IN GREAT SUBURB|750|Auckland|Auckland City|Mount Albert|14 Martin Avenue|4|2|2|14491|416541|2982239/3691ceec053cb78aaba7472e91e5c819.scale.1024x682.jpg
2982241|Family Home in Otara|500|Auckland|Manukau City|Otara|16 Garrett Place|4|2|1|23162|0|2982241/b3ccbf95aa16cf4e21879b8159a9b461.scale.1024x682.jpg
2978950|Perfectly positioned three bedroom home in a w...|600|Auckland|Auckland City|Panmure|28 Armein Road|3|2|1|11924|0|2978950/ec0267ae4264d7e9b606426d90bfeb4d.scale.1024x682.jpg
2981903|Handy Milford Location|440|Auckland|North Shore City|Milford|5/20 Penning Road|2|1|1|14591|14618|2981903/3d773bdf71bd739d96e357f98f8fb167.scale.1024x682.jpg
2981403|Stylish Family Home|1350|Auckland|Auckland City|Epsom|10A Cornwall Park Avenue|5|4|3|11805|0|2981403/84b4ffd7ea707647aca42a050450b2c2.scale.1024x682.jpg
2978492|Tidy Family home in Mt Wellington|520|Auckland|Auckland City|Mount Wellington|34 Harwood Road|3|2|1|14112|302807|2978492/229814bc828bb6c79e0ed2633109eb9e.scale.1024x682.jpg
2978491|Easy living.....|400|Auckland|Waitakere City|Henderson|2/58 View Road|2|1|1|206777|256406|2978491/853907148a4e87346029df4003048f4c.scale.1024x682.jpg
2978495|HANDY TO TOWN|410|Auckland|Franklin|Pukekohe|Address withheld|3|1|1|13820|0|2978495/5c32effe9552677cf206760406841559.scale.1024x682.jpg
2978499|Affordable on Nikau Road|260|Auckland|Auckland City|Otahuhu|Flat86A Nikau Road|1|1|1|11297|294270|2978499/1e16d41f5fe3d487d55c1a6d9f227797.scale.1024x682.jpg
2978498|MODERN FAMILY HOME|490|Auckland|Franklin|Pukekohe|Address withheld|4|2|2|13820|0|2978498/39f2c317c8a55150fe4f053dce4d10bb.scale.1024x682.jpg
2974493|Great location in Taniwha|495|Auckland|Auckland City|Glen Innes|142 Taniwha Street|3|2|1|14112|302807|2974493/a4206eda53845c6962215e4a87c74fa9.scale.1024x682.jpg
2978501|Entertainers Delight|595|Auckland|Waitakere City|West Harbour|47 Ruze Vida Drive|3|4|2|206778|372422|2978501/69a929036c949798b4008216fde5e382.scale.1024x682.jpg
2978503|Two Bedrooms with Carpark!|680|Auckland|Auckland City|Auckland Central|6/7/22 Queen Street|2|1|1|12647|282575|2978503/624d51ab5d5061af8aa9531a814642fc.scale.1024x682.jpg
2978504|A home to fit your needs|500|Auckland|Waitakere City|Henderson|54 Forest Hill Road|3|3|1|12513|286484|2978504/f750d334529a13101770fb2d208aa5d0.scale.1024x682.jpg
2972633|POSITIVELY PATTS|530|Auckland|Waitakere City|Glendene|8 Patts Avenue|4|2|1|206777|256406|2972633/69bd2ae26cecbdaaf0645eb8e5e1c796.scale.1024x682.jpg
2972622|HILL SCHOOL FAMILY HOME|520|Auckland|Franklin|Pukekohe|Address withheld|3|2|2|13820|0|2972622/e7f02d9242f0d6c7636e350054b8c0eb.scale.1024x682.jpg
2972049|Close to all Essential Amenities!|430|Auckland|Manukau City|Manurewa|3/4 Browns Road|2|2|1|23162|0|2972049/06dc4be1675173c8242bc75e55a22418.scale.1024x682.jpg
2972930|Cool and Contemporary Apartment|750|Central Otago / Lakes District|Queenstown|Fernhill/Sunshine Bay|7C Strawberry Lane|3|0|2|201419|225896|2972930/603a742253bc913eed92a06aa803ff67.scale.1024x682.jpg
2972644|Killarney Drive, New & Modern|800|Auckland|Manukau City|Flat Bush|38 Killarney Drive|5|2|3|10730|342216|2972644/f354530d3df067c6c02b82736190c0cd.scale.1024x682.jpg
2972629|RECENTLY RE-FURBISHED HOME|430|Auckland|Franklin|Pukekohe|Address withheld|3|1|1|13820|0|2972629/c83bc735a9fefb57876eae61d452474a.scale.1024x682.jpg
2973599|GREAT LOCATION - PETS CONSIDERED|540|Auckland|Manukau City|Mangere East|27 Cramond Drive|3|3|1|14541|372839|2973599/05de733c9084e7c77a93dbd74ff608c8.scale.1024x682.jpg
2973626|Immaculate Family Home In Glendene|700|Auckland|Waitakere City|Glendene|130 Farquhar Road|5|3|2|14112|302807|2973626/ed23cc5de5466e22381559e6eb3b3b12.scale.1024x682.jpg
2973597|Medvale Ave, easy access to motorway|550|Auckland|Manukau City|Flat Bush|64 Medvale Avenue|3|2|2|10730|342216|2973597/a4b3aad58212ee798b21719d7866e214.scale.1024x682.jpg
2973612|BEAUTIFULLY PRESENTED TWO BEDROOM FLAT|420|Auckland|Rodney|Red Beach|16A Higham Ferrers Place|2|0|1|10323|372838|2973612/81a9565febbe5b65821218e0bd6fa634.scale.1024x682.jpg
